Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo,media_frp,Mes,DiaSemana,Estacao_Seca,lag_1,lag_2
2015-01-09,16,0.0625,3.38125,0.39375,9.283333333333333,1,4,0,2.0,7.0
2015-02-03,2,1.0,0.8500000000000001,0.2,7.5,2,1,0,1.0,2.0
2015-02-06,4,0.25,3.075,0.25,14.7,2,4,0,8.0,4.0
2015-03-03,2,0.5,6.4,0.0,5.4,3,1,0,5.0,1.0
2015-03-14,11,0.0,6.5181818181818185,0.2333333333333333,6.633333333333333,3,5,0,1.0,1.0
2015-04-04,9,0.5555555555555556,2.4555555555555557,0.1,7.5,4,5,0,5.0,2.0
2015-04-25,7,0.0,1.2714285714285716,0.1,9.600000000000001,4,5,0,2.0,2.0
2015-05-01,3,0.0,0.4666666666666666,0.2,10.1,5,4,0,7.0,2.0
2015-05-03,4,1.5,0.125,0.17500000000000002,9.3,5,6,0,6.0,3.0
2015-05-10,5,1.0,0.1,0.1,10.05,5,6,0,1.0,4.0
2015-05-24,13,0.0,12.46923076923077,0.13,9.225,5,6,0,3.0,1.0
2015-05-31,6,3.0,2.9166666666666665,0.85,6.8,5,6,0,1.0,1.0
2015-06-04,13,3.3846153846153846,0.007692307692307693,0.9125,31.175,6,3,0,2.0,5.0
2015-06-05,28,4.607142857142857,0.025,0.7833333333333333,12.38888888888889,6,4,0,13.0,2.0
2015-06-06,16,5.0625,0.05625,0.8999999999999999,20.283333333333335,6,5,0,28.0,13.0
2015-06-07,16,5.625,2.6999999999999997,0.9181818181818181,6.4,6,6,0,16.0,28.0
2015-06-09,23,0.08695652173913043,0.2826086956521739,0.8333333333333334,18.583333333333332,6,1,0,2.0,16.0
2015-06-11,8,0.625,0.0,0.8,9.85,6,3,0,1.0,23.0
2015-06-13,18,3.6666666666666665,0.31666666666666665,0.9117647058823529,17.833333333333332,6,5,0,8.0,8.0
2015-06-20,6,6.166666666666667,0.0,0.675,9.7,6,5,0,2.0,3.0
2015-06-22,8,8.125,0.0125,0.6166666666666667,6.6,6,0,0,1.0,6.0
2015-06-23,10,12.4,0.11000000000000001,0.9888888888888889,26.6,6,1,0,8.0,1.0
2015-06-25,29,13.379310344827585,0.034482758620689655,0.8347826086956521,9.525,6,3,0,18.0,10.0
2015-06-27,34,12.647058823529411,0.0,0.8999999999999999,19.8625,6,5,0,13.0,29.0
2015-06-28,16,11.625,0.0,0.9846153846153847,17.7,6,6,0,34.0,13.0
2015-06-29,17,13.588235294117647,0.0058823529411764705,0.8562500000000001,12.02222222222222,6,0,0,16.0,34.0
2015-06-30,18,16.055555555555557,0.23333333333333334,0.9058823529411765,5.6,6,1,0,17.0,16.0
2015-07-02,14,17.357142857142858,0.05,0.7583333333333333,10.7,7,3,1,19.0,18.0
2015-07-04,9,20.666666666666668,4.2555555555555555,0.7875,19.275000000000002,7,5,1,13.0,14.0
2015-07-09,4,2.75,0.0,0.75,28.1,7,3,1,9.0,13.0
2015-07-10,11,4.0,0.0,0.8090909090909091,62.7,7,4,1,4.0,9.0
2015-07-11,24,4.625,0.2791666666666667,0.7380952380952381,37.85,7,5,1,11.0,4.0
2015-07-13,12,6.166666666666667,0.0,0.8416666666666667,23.625,7,0,1,22.0,24.0
2015-07-14,16,6.375,0.00625,0.8857142857142858,48.05,7,1,1,12.0,22.0
